Sample	x	y
SNI_Sal_1	-5.0090428323417	-12.0008924560142
SNI_Sal_2	58.377016945543	1.32419921801766
SNI_Sal_3	-11.0009327956682	20.4159394252371
SNI_Sal_4	24.9610651951217	19.9677537152829
SNI_oxy_1	-6.56418569480717	-9.36519518490813
SNI_oxy_2	-6.15341258256298	-10.521837821945
SNI_oxy_3	-4.47290317169847	-14.7034265655901
SNI_oxy_4	-9.56878995871137	11.7748947337091
Sham_Sal_1	-10.3043956296389	5.20319610772966
Sham_Sal_2	-0.926346561100257	-18.7841631639554
Sham_Sal_3	-4.5506328346941	-16.3467396280207
Sham_Sal_4	2.73674863208533	-16.9616681211932
Sham_oxy_1	-12.4163006796052	34.6696074616729
Sham_oxy_2	-9.45785987015186	5.74341873554438
Sham_oxy_3	-2.56683049363136	2.32872533218333
Sham_oxy_4	-3.08319766813844	-2.74381178775026
