Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
SNI_Sal_1_1	24.96836792727476	7.070593222355755	8.768289044783332	9.083521837777528	8.115541120931628	6.5784722824318935	4.973356701220645	3.3896315623466373	2.420895123733423	9.466126163427695	1.1139915462423327	2.7520069449875812	1.619613104500078	4.370947319812383	1.7188528224348871	3.5897932757394675
SNI_Sal_1_2	28.77726027894732	7.733674014725656	9.25411096130265	9.162173857490437	8.036068499308122	6.336519912522993	4.542397574136489	3.0844588831054316	2.1102551281544852	7.742390167694044	1.0313515366525492	2.794560808545303	1.7061201074701813	3.8772195501111724	1.8728085661007303	1.9386301537324542
SNI_Sal_2_1	10.767301893405316	3.6611801565399373	2.7673891469654435	1.9450110124208677	1.339636253829967	0.9342251714523911	0.6919788519400993	0.5320062334349827	0.4383488882490556	5.36607755212438	1.849032083222232	5.69071234060231	3.998099797485557	18.308475198739018	12.574155533420688	29.136369886167785
SNI_Sal_2_2	19.88410646108865	3.8161494856532188	2.671704942034241	1.9232358692401377	1.3465893885803495	0.9825569668349984	0.7702561393846472	0.6020469679387707	0.5278280455977735	5.493345633169789	1.2955471973190409	3.5810193966929	3.646434500300612	23.072715838188586	12.405771320839463	17.980691847136846
SNI_Sal_3_1	49.770503324398085	13.369676831346677	5.0559929233844585	2.2643975058878567	1.2039854973911917	0.8077871417442262	0.6022048690466039	0.48334706551601614	0.3831949884070033	3.8201630448014536	1.3164703860133242	3.642497159747477	2.0444129638234507	5.196538886747628	2.669680049922764	7.369147361821986
SNI_Sal_3_2	53.8637554609552	12.831068483920017	4.482589681328724	1.8759524710425535	1.0102141946152468	0.6777871823544233	0.5247457541582686	0.38549171086952344	0.3164072495336163	3.5373219457662595	1.3108849435455423	3.4718745360095546	1.8574804320561213	5.317715219448475	2.649220723766625	5.8874900106299135
SNI_Sal_4_1	16.58301877022032	3.6144264785093188	1.5885051708720566	0.9906467377772326	0.75786206231332	0.5917464834984317	0.5112900450464257	0.42714066457993405	0.3775745106690044	4.487263154720872	1.6357140365844707	5.550996748057103	3.8293038948362	17.096836017870558	11.970842316330543	29.986832908114184
SNI_Sal_4_2	21.535404511517378	3.5854655090367693	1.6589378148220442	1.0452187138620945	0.7918596268074093	0.6489545896352331	0.5627900974207115	0.44829344999913745	0.40353126763058333	4.691901472983574	1.2480539485467874	3.8141282486255568	3.7171399604357087	21.78196877133722	13.53203319230705	20.534318825032784
SNI_oxy_1_1	50.10192416212655	13.301016644871789	5.478499422832398	2.6586284672461655	1.540728493046071	1.0230690436480219	0.8048392651316891	0.5752858115320548	0.48745321225066335	4.18533833027447	1.0972660117629855	2.905734842319888	1.5941140953464863	4.59846894720328	2.000113378922951	7.647519871484547
SNI_oxy_1_2	56.883237662260555	11.725803027012786	4.620825899483972	2.1407276480316075	1.3042426339596564	0.8690950859745177	0.619003560840269	0.46064204962122546	0.364213331713977	3.3442088846811644	0.9689587559192501	2.8077176141799804	1.5092643865071762	4.224886699148914	2.0276686434167597	6.129504117248096
SNI_oxy_2_1	53.98675582882363	15.789507762470384	6.8350917303865915	3.2695607681734353	1.9663726774667096	1.2879539051301399	0.9691774931193821	0.7629580530941199	0.5857501894910562	4.49898886968601	0.8217940540839334	1.8002071128065604	0.9744220512350728	2.464626882255324	1.032554055270382	2.954278566507321
SNI_oxy_2_2	63.68510263609459	13.599356853700836	5.336878571992012	2.3731079353103373	1.422786803738652	0.923806644505687	0.7051540805095439	0.5036125458240809	0.3671046398528806	3.0730815294585563	0.6527298407103871	1.7306472065790817	0.7639155477893422	2.0501380418963935	1.2753740425335154	1.5372030795042906
SNI_oxy_3_1	24.59146850485216	8.284111834110094	9.644960379154766	9.33367030232928	7.6924646480377685	5.90084262083231	4.278193456208488	2.9195555028698585	1.9780256257253463	8.794653189898833	1.1535781289475633	2.6560059356396173	1.4175485627558448	3.933231326628823	2.60327941251483	4.818410569494017
SNI_oxy_3_2	32.4747075136879	8.411775960162084	9.636005278031298	8.59995146595901	7.087180891431622	5.369964232072077	3.7084333306542296	2.518522129825575	1.6383592700241982	6.508746015676261	0.972984108589614	2.5998961058253935	1.2750903708865067	4.065251159333298	1.830792031041699	3.3023401367993857
SNI_oxy_4_1	41.452142276579366	17.992934479072208	11.147677888430211	6.024700917888842	3.1369311505449122	1.7173741343013167	1.020953777393326	0.7493434739257924	0.5087882797258438	3.9169173712749834	1.1564538777836892	2.699265735065194	1.5376132119664605	3.8376584112178915	1.1896150010156612	1.911630013814351
SNI_oxy_4_2	50.179486095433354	16.712476741224965	9.398275774941837	4.78092649719592	2.431999982443126	1.231958272929579	0.7240922111979603	0.4923140643707251	0.36940663353613484	3.0018199519635047	0.9794803844100644	2.5617040716466097	1.5190616544319713	3.3390478499258385	1.4592120587422885	0.8187377556060466
Sham_Sal_1_1	22.187782498635453	8.875417860075824	8.46057721107087	6.628153541403566	4.818717656604989	3.2136109310825103	2.0906997803867204	1.2862280328620677	0.9170487702142623	4.701888529864222	1.3654891035370316	3.439334230430947	2.0338707498596698	6.027184361232155	3.390536633675947	20.563460109063552
Sham_Sal_1_2	29.685646038641085	8.755687374565648	7.8004052196722125	5.918245134705843	4.12260286484134	2.5952644507040166	1.6330783181818698	1.0506058131578238	0.6976763845191939	4.156498960909707	1.3344110496389812	3.2783367923441142	1.817123258364852	5.665345723436021	2.8000473495102574	18.689025266807093
Sham_Sal_2_1	46.47749670558745	13.887742942862277	6.501955227459666	3.5672551467861027	2.3907479557100015	1.6601033971928691	1.3034768201334983	0.9612969954857818	0.8353342470227142	6.800776029768604	1.4334323073481128	3.0210258366032554	1.7241869003086028	3.940994906457038	1.5647110908810995	3.9294634903929064
Sham_Sal_2_2	55.67103160565553	12.375739041898424	5.6513255370874305	3.0795997116814022	1.9095574386986776	1.328616399833021	0.9521805585850378	0.70907161701079	0.6489783790942703	4.886318101541206	1.0433177146799901	2.809476901165336	1.5194437963958125	3.7613588901899293	1.5518713917474714	2.1021129147355384
Sham_Sal_3_1	26.687193937696858	14.001762779492854	12.094479357739027	8.622764227060784	5.445993954346539	3.4223887340556356	2.2367959687460215	1.546839322211173	1.1280284694998748	7.410711726241958	1.360561010077263	2.8645315769124657	1.6233109443147289	4.305467196569417	2.2644556218062597	4.984715173229015
Sham_Sal_3_2	31.94796096804123	13.996031397902332	11.873132759691746	8.020410285428857	5.026804996295416	3.123620768442365	1.964184167575904	1.3845282653207673	0.9509092190956916	6.230963137663006	1.2385465764667092	2.8479437413240425	1.5869391237564205	4.470234210055151	1.7441575007026904	3.5936328822377765
Sham_Sal_4_1	26.191634708646	9.582760520864802	8.362610639287677	6.4225575714533205	4.36841010687299	2.968857855668902	2.0114714164837273	1.3906646071409943	0.987644004999352	5.976203310299199	1.4273211032441306	4.961031228306786	3.6563166197933454	12.543242199127064	4.766145329782311	4.383128778029394
Sham_Sal_4_2	37.77989902268409	9.073794786370277	7.412231798685391	5.262698286579595	3.5392057867315576	2.2417815704414665	1.496604118633716	0.9959416584268539	0.7344337762126468	4.297961508420572	1.0301013993160741	4.268765401785353	3.9632415044542393	12.595447362210862	3.2610516064537935	2.0468404125935797
Sham_oxy_1_1	19.6162616344955	7.24105990628331	3.7450516497123854	1.8426517073654471	0.9329608933710968	0.6153490697930384	0.4213408178146078	0.36457119188573917	0.3017254713311623	4.847974162852656	2.154652648126767	6.293194131239171	3.5895909455428052	10.251453225204505	4.634768941085456	33.14739360389645
Sham_oxy_1_2	25.748903075621733	6.76839583613511	3.344034166047829	1.5861825972199266	0.855204142050193	0.5920144339376767	0.4716869793442371	0.39266540610584266	0.30052356099826577	5.232776867635782	2.182600300442835	6.011639357619016	3.196597266292366	8.845171517342818	4.269396305971455	30.202208187234962
Sham_oxy_2_1	56.68675592126638	17.1399884235614	6.849579834556543	2.962997733272829	1.536381792743654	0.9107889932673524	0.6574552756612719	0.5163167043209277	0.33938741421158863	3.015686169608905	0.8304446074743146	2.201450328016811	1.0316974937818715	3.135328397061309	1.2466149507326119	0.939125960462329
Sham_oxy_2_2	65.40078028351382	14.390886572100655	5.312162218953068	2.236294627758167	1.083313772786532	0.6136150137955452	0.43719311556711304	0.33949360263469247	0.27687972018653945	2.105173316020535	0.665581107888811	1.8895742867052194	1.1108760547751197	2.7917949340362824	0.657130554960878	0.6892508183171105
Sham_oxy_3_1	35.12216210062907	9.48436267933747	3.7863901197741403	1.9517421552839	1.1745798558234193	0.7619938891871797	0.6332403994398529	0.47312237086475745	0.3815027130054063	3.606672981176759	1.2399293891547418	4.351764857330914	3.2691051288192017	14.0729348566312	9.116001949277438	10.574494554264698
Sham_oxy_3_2	42.2523439042278	8.696216932326946	3.3718338823083656	1.6595703708212668	1.0302284837486135	0.72807066900363	0.5408602801371805	0.42945769125867456	0.3665458654314821	3.287954465362698	0.8086497556761232	3.0318061007678065	3.5623937993787034	16.94710792130213	6.898181652962866	6.388778225285745
Sham_oxy_4_1	31.072492780987837	13.294931344397964	11.608373684591584	8.288209694589519	5.486567667577782	3.2715734324118992	1.9553389234634226	1.3103013884798325	0.9022078698957681	5.472729570724881	1.1894089495238818	2.765419927559394	1.4602262912021415	4.120784779283015	1.668158296234398	6.1332753990764965
Sham_oxy_4_2	40.73112445421565	12.761508998400698	10.285608140409694	7.034952464186328	4.247135556476405	2.526073913967945	1.4296918505198564	0.9581077077461324	0.6772105141932777	4.265074284982567	1.0195945650681018	2.4208068206086812	1.1289189259235124	4.356140253660812	1.8353117662946303	4.322739783345693
