Sample	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
SNI_Sal_1_1	404.0	1027.0	1172.0	1460.0	2674.0	4698.0	6375.0	10069.0	18161.0	77441.0	82481.0	95897.0	157444.0	241033.0	373999.0	518487.0	660304.0	793619.0	895677.0	1048012.0	1022953.0	1048259.0	1009689.0	997769.0	932060.0	5268296.0	7649209.0
SNI_Sal_1_2	16926.0	15412.0	15317.0	16532.0	17505.0	19105.0	20931.0	25215.0	33836.0	47748.0	137438.0	115662.0	178060.0	266285.0	405176.0	554520.0	700756.0	836418.0	937483.0	1088203.0	1063046.0	1087006.0	1053609.0	1071208.0	1070262.0	5683061.0	6441949.0
SNI_Sal_2_1	2318.0	4283.0	6809.0	12635.0	23503.0	44848.0	85177.0	134817.0	216330.0	755404.0	610373.0	427555.0	474440.0	522228.0	589837.0	599617.0	629527.0	656841.0	675230.0	674473.0	681189.0	700250.0	682065.0	712751.0	655955.0	4951655.0	8792503.0
SNI_Sal_2_2	29875.0	31168.0	33962.0	42358.0	53837.0	74948.0	114568.0	165538.0	246017.0	318314.0	1067865.0	535023.0	515880.0	573159.0	652851.0	677153.0	717211.0	752262.0	774469.0	770127.0	773991.0	796703.0	789506.0	857378.0	914535.0	5193721.0	6850194.0
SNI_Sal_3_1	4296.0	9828.0	18525.0	29904.0	61232.0	110856.0	223577.0	350743.0	564627.0	854074.0	968515.0	1054685.0	1143862.0	1137837.0	1258005.0	1231131.0	1215745.0	1123888.0	1059769.0	999111.0	941214.0	921294.0	862651.0	817083.0	731957.0	3877534.0	5309045.0
SNI_Sal_3_2	17862.0	22256.0	31974.0	44407.0	76051.0	125520.0	238196.0	364812.0	576508.0	773467.0	1052553.0	1066363.0	1149655.0	1148763.0	1270757.0	1249432.0	1238843.0	1146192.0	1080866.0	1019726.0	962270.0	939684.0	881767.0	864262.0	844407.0	4150302.0	4544093.0
SNI_Sal_4_1	669.0	1195.0	2782.0	5923.0	14287.0	32208.0	75099.0	134182.0	243270.0	331084.0	400189.0	474523.0	487757.0	532712.0	569136.0	598043.0	572470.0	592524.0	598948.0	645984.0	626783.0	628992.0	651523.0	654959.0	693382.0	5588562.0	11099728.0
SNI_Sal_4_2	15416.0	16116.0	18986.0	23194.0	32659.0	51733.0	94622.0	154106.0	263986.0	333073.0	438789.0	498413.0	517870.0	570102.0	622373.0	664390.0	653870.0	680296.0	691353.0	738532.0	727429.0	745377.0	784971.0	831848.0	1007135.0	6192124.0	8888151.0
SNI_oxy_1_1	1008.0	2507.0	3962.0	7393.0	16422.0	34100.0	68937.0	110525.0	194453.0	689856.0	564348.0	428187.0	487408.0	531424.0	626636.0	677910.0	712543.0	745003.0	770275.0	811731.0	817177.0	826757.0	809635.0	823640.0	792374.0	4547242.0	6771378.0
