sample,fastq_1,fastq_2,strandedness
SRR23195516_Oxy_SNI,SRX19144486_SRR23195516_1.fastq.gz,SRX19144486_SRR23195516_2.fastq.gz,auto
SRR23195511_Oxy_Sham,SRX19144488_SRR23195511_2.fastq.gz,SRX19144488_SRR23195511_1.fastq.gz,auto
