Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
SNI_oxy_2_1 - Adapter 1	4489538	1396882	494868	194495	138193	122536	119604	112853	112190	118601	113661	115908	115684	115386	115681	111856	110141	110781	102633	102273	101487	103562	101238	100732	100748	99139	96885	93307	88583	87682	85407	87087	86272	85372	82875	81104	81080	74857	70800	69827	70884	68211	69046	64245	83399	45544	55426	58607	55315	53478	53029	52426	49436	48468	48932	44203	44125	42370	38838	36139	33919	32165	33105	32116	28630	31090	28316	26465	25201	25751	35484	162444	36603	11443	5465	3922	3430	2934	2562	2412	2231	2071	1807	1767	1531	1579	1349	1232	1065	965	841	656	558	541	478	405	335	340	326	284	227	177	161	138	139	103	86	99	78	87	60	58	58	46	43	26	56	36	40	30	31	40	37	48	25	21	26	18	35	34	23	38	15	24	17	19	30	30	13	19	23	26	28	29	31	31	75	67	120	1550
SNI_oxy_2_2 - Adapter 1	4314828	1367794	481453	184198	131366	123201	111858	102219	103298	112157	105818	107788	118706	134746	95437	115370	95965	87026	97248	91383	88231	96020	101286	107726	88230	92973	88075	92368	81286	97558	69707	84692	76885	84525	76819	76399	73730	73154	68372	63778	65946	69713	60790	62426	63467	60529	61022	55254	54170	54413	50072	50568	53729	50886	41791	48934	45459	39289	36046	40201	32928	29268	38377	19691	26045	24214	27463	24551	23787	21595	21501	20502	19773	22243	31578	120019	19276	4885	2594	2234	2048	1756	1562	1700	1443	1439	1327	1182	964	896	737	649	573	508	461	475	356	281	284	268	253	225	151	115	134	113	112	99	112	74	70	63	49	61	62	48	52	48	40	34	34	39	30	46	21	41	32	39	23	27	25	23	28	27	24	23	16	13	9	12	24	13	10	8	37	11	40	28	61	1248
SNI_oxy_3_1 - Adapter 1	3618758	1099728	399569	158718	113025	103141	101264	98453	96009	102929	95859	98894	96601	97132	96840	93911	91287	96351	87655	90327	88935	92038	89139	87888	87749	86490	83103	83700	81183	82273	81308	89417	84316	82291	79939	76090	74382	71989	70998	71109	73526	72088	72815	67084	88233	47557	58365	64104	62433	62387	64183	61632	59258	58725	58633	53991	55351	53296	49950	46748	44044	44061	46960	45072	40881	44789	40826	38708	39348	45852	391103	372078	90188	40901	17974	12724	9042	7021	6204	5934	5651	5234	4668	4248	3943	3509	3181	3063	2655	2282	2048	1772	1546	1529	1312	1206	1045	972	880	789	752	624	567	486	445	385	422	394	360	338	317	335	296	322	271	271	265	279	282	248	251	291	267	231	248	262	292	256	263	252	279	259	257	272	331	431	340	332	336	355	377	391	476	602	753	1011	1615	2273	7068	86040
SNI_oxy_3_2 - Adapter 1	3562139	1121097	407020	155074	109842	103658	97100	91568	92125	98302	91548	94656	99443	113721	82713	97241	83684	76680	87137	82211	81288	87877	90308	93966	78706	83077	78329	83648	76400	91898	68668	89035	77509	81988	74639	72981	71195	70757	68900	67630	69240	73361	65323	65909	67883	64275	64650	62326	62007	63770	61465	60142	63586	61837	51053	59006	57744	50755	48024	52033	43920	41543	54516	29521	38130	36099	40330	36220	35870	34146	34447	33748	34997	42882	407215	340275	64007	19306	10165	7886	6353	5159	4820	4714	4489	4191	3552	3216	2614	2413	1998	1658	1562	1400	1216	1308	1033	896	782	719	675	609	462	407	359	326	365	273	318	234	182	160	158	132	144	130	111	113	105	91	92	124	74	92	97	73	70	74	80	64	56	69	51	43	55	66	57	63	56	65	74	55	80	96	162	231	410	616	2817	70343
SNI_oxy_4_1 - Adapter 1	2774428	915527	383746	174493	138856	133053	135425	130452	132326	139756	137486	140670	141782	143903	140873	141243	144509	147376	145198	146020	147146	153703	147304	149168	150780	146756	147613	148406	150326	153783	151163	161209	154101	157960	156135	156624	156869	152034	153019	157786	158806	160309	168325	157428	207043	112422	140268	153094	156166	155269	159896	159263	154344	154776	160103	150649	154731	151473	146463	139594	134951	136148	142629	140801	132345	144161	133964	128519	129258	140228	187093	1195424	282520	85005	37700	26414	22855	19198	18315	17836	17867	16881	15469	14211	13146	13077	11532	11847	10612	8718	8045	6923	5914	5115	4683	4387	3862	3470	3112	2678	2292	1688	1432	1127	930	812	726	722	613	505	397	321	287	214	197	154	188	139	127	99	104	82	77	55	45	34	33	38	41	35	25	29	25	43	55	96	39	27	14	19	21	18	24	31	43	43	61	71	225	2782
SNI_oxy_4_2 - Adapter 1	2701549	922439	376037	165731	137071	136966	128688	119724	123259	132761	129071	131973	150270	170386	118887	149565	125613	116603	137039	130653	127599	141108	150592	159416	130868	140863	136772	148906	139286	171461	125256	156165	141386	158032	147249	147390	146628	148567	147217	143395	152369	163436	145329	150223	154881	154101	158087	146620	154819	159876	152067	155211	173075	165333	139658	169559	160609	145721	138091	159013	132778	125738	165553	87877	118905	112120	129341	118768	121251	116498	122056	118955	119954	144955	179668	965354	153397	35684	18231	16060	15520	13949	12553	13043	12149	12508	11050	10644	9386	8045	7365	6093	5591	4718	4120	4005	3527	2929	2755	2416	2231	1574	1309	1006	875	823	755	737	688	508	375	293	277	217	163	153	152	139	95	99	95	88	65	60	31	37	23	26	28	32	36	34	27	26	20	20	13	23	22	20	21	10	15	12	18	15	39	35	92	2185
Sham_Sal_1_1 - Adapter 1	3659029	772377	304273	136710	110230	106097	105607	104041	100883	116013	112157	120214	122989	128854	140499	141983	146583	161730	133926	144763	143796	155647	170000	170452	169520	171888	168235	172808	170865	173509	165684	170218	181420	198005	203164	217362	216718	221696	194481	207249	211980	239279	236758	231665	327441	170375	222075	267740	260441	234406	275114	272954	240599	252670	263473	238623	287734	285209	259030	238857	216689	204990	233103	233215	211270	252857	240420	215303	208547	226911	332538	1827888	440970	134188	58056	42024	37592	30771	26609	25897	27155	25306	22904	20512	18054	17516	15567	14438	13250	11043	9929	8360	7935	6591	5971	5600	5095	4406	4187	3690	3176	2740	2297	1914	1500	1495	1251	1302	1173	1023	842	706	602	552	385	421	424	378	371	384	305	302	308	188	160	160	141	135	105	73	77	63	83	71	102	81	68	74	67	68	76	63	78	98	179	161	214	343	1114	13503
Sham_Sal_1_2 - Adapter 1	3765616	769153	284989	127414	112529	109365	106398	96464	93467	115318	104117	113985	134007	182463	107139	148235	136811	104577	131235	119377	119555	141220	166349	174088	160523	161550	159115	183916	154581	216832	120549	170053	154148	197301	195486	254688	157632	227438	167379	177297	182318	215824	205422	220830	247652	235795	252560	245864	249522	247503	251680	265620	264594	282759	217634	268678	299203	252517	238629	260589	210936	202572	288858	134455	182862	188279	238216	200612	188649	188620	188009	183890	194136	226683	319592	1424987	245068	60430	29416	25714	25595	21637	19167	18730	16065	16597	14404	13074	11656	9727	8691	7352	6987	5783	5267	4959	4479	3570	3411	3125	2896	2519	1978	1613	1382	1280	1159	1280	1197	1051	740	633	553	431	319	334	360	337	290	272	220	223	252	157	140	78	60	81	70	57	46	46	39	32	33	36	28	26	11	21	33	20	7	24	57	49	80	99	403	11200
Sham_Sal_2_1 - Adapter 1	4141714	1348168	467252	189619	137114	127389	123975	120149	120079	125129	121705	123545	122206	123244	120773	119370	119497	121539	117052	118437	118209	121902	118426	115709	115891	114042	112495	112432	110984	113383	111030	115256	115437	111597	109609	106553	106966	102303	99557	102643	104689	100471	102799	96068	124232	70643	84949	90754	89580	89438	90388	89484	89434	87806	88817	80451	80384	79636	74551	70758	67510	67597	71922	67824	63222	67238	59917	58739	58488	60613	76854	394923	88030	26979	12850	9469	8182	6998	6292	5931	5408	5149	4836	4354	4068	3522	3111	2867	2413	2151	1758	1566	1276	1080	959	896	737	687	642	513	468	390	282	216	181	184	177	132	119	117	98	71	65	61	49	54	43	37	37	39	41	36	30	30	34	22	34	29	44	39	30	36	31	29	18	29	14	13	19	20	25	19	19	29	36	37	65	38	144	1895
Sham_Sal_2_2 - Adapter 1	4111243	1362080	486168	184617	132418	128658	117659	110829	111368	120744	113263	116382	127667	150711	97345	124192	108255	91632	109847	105010	103233	113054	117237	113724	112583	110541	107658	115418	104325	133565	88011	111548	102057	112959	108014	118429	84328	107777	87669	92340	90750	95911	93155	92148	98261	93934	93915	85701	88674	91780	86674	87128	99302	91574	77350	90120	83229	75897	70569	79636	66573	62721	83147	42344	57548	52780	58987	56612	54994	52042	50718	48942	48547	54212	70393	285020	43903	11195	6461	5480	4862	4329	3983	4183	3831	3559	3068	2825	2180	2001	1640	1385	1246	1090	912	915	744	639	541	493	456	355	297	245	197	169	158	170	146	112	93	86	72	86	62	50	51	52	40	31	47	38	39	29	32	31	33	28	34	37	27	28	18	23	24	23	20	15	18	16	24	13	19	13	28	12	41	22	52	1486
Sham_Sal_3_1 - Adapter 1	4721964	1529243	534297	214849	158834	145171	142902	136439	132814	141665	135681	139393	135415	135837	133315	131887	130216	134008	121190	125689	121480	125913	121845	120816	119294	117294	114827	114418	110398	111029	108727	115988	111946	109653	106655	101048	98610	96729	95407	94551	98322	94587	95855	88995	114025	64644	77404	82326	81765	81182	81456	80180	79217	76774	78996	70611	70121	67918	64763	61876	59066	59389	62382	59864	55014	59621	52253	50353	50561	53645	105000	355418	82969	26888	12874	8995	7650	6384	5652	5137	5065	4677	4134	3929	3570	3376	2923	2811	2396	1978	1709	1420	1291	1058	943	886	832	705	603	551	492	425	337	247	222	188	222	204	169	149	142	111	127	118	87	72	76	71	69	66	72	94	37	60	68	44	44	56	69	65	47	69	53	61	48	44	48	52	52	63	64	71	76	78	151	130	234	305	892	10891
Sham_Sal_3_2 - Adapter 1	4732383	1546979	553615	214504	154765	145898	136372	128358	128019	136079	129407	133670	139065	161479	111827	136525	120993	103834	119307	114549	111836	120210	122271	119170	116165	114841	111782	116169	105166	127431	90306	114491	102654	110835	103969	110927	84208	101185	85381	88750	87556	91154	88011	86829	89959	86474	85416	79403	81703	82738	78858	78765	84786	80370	69464	77219	73124	65885	62530	68496	59063	56686	71942	40365	51861	48967	52036	48923	47966	46100	44295	42517	42549	46329	99050	285814	44007	11329	6245	5053	4589	4017	3807	3880	3597	3550	3090	2641	2259	1977	1747	1357	1321	1082	958	902	769	664	609	561	541	464	381	276	259	220	222	177	222	153	142	120	109	111	97	66	87	92	62	62	76	48	43	41	52	42	49	38	44	56	30	43	42	29	31	28	42	19	14	27	46	20	22	23	54	41	109	94	399	8694
Sham_Sal_4_1 - Adapter 1	3448989	1164128	413671	183485	149397	140828	143054	135998	136152	141251	138388	143348	142816	142660	141984	141280	143778	146290	139804	140438	139354	147436	142443	144526	145354	139350	141782	142965	138204	138899	135061	146308	137741	143826	138585	137203	139908	135611	134840	136219	132298	132626	137427	129086	170257	94642	112959	124620	121205	121889	120147	122089	121234	118686	125191	114574	115926	113326	106726	101687	98561	99988	105826	101047	95180	104081	95028	93986	95709	112623	800798	976479	233609	95177	43694	30157	22211	17769	16673	14862	13897	13248	12148	11192	10666	10021	9180	8583	7775	6670	5918	5159	4581	4228	3924	3482	3162	2948	2609	2438	2230	1746	1575	1309	1091	1044	1027	1010	981	838	854	748	699	691	643	629	580	540	552	566	578	510	508	543	476	513	481	561	530	563	580	651	674	659	719	1526	870	703	614	667	749	878	1033	1183	1558	2066	3158	4446	14229	170592
Sham_Sal_4_2 - Adapter 1	3381451	1104151	411474	171219	151072	143221	135761	123611	123528	135503	126127	132283	149913	178231	110483	147157	127954	106120	128733	121669	117972	131456	142510	140899	137777	136390	134628	146583	127037	162491	105875	139611	124114	143602	135842	153503	109750	143964	115592	118622	116589	124461	120642	121377	129797	129251	127164	116090	120073	124734	114464	119413	134763	126219	108689	128618	119637	107947	101243	114928	96967	93760	122460	62721	85487	80687	93049	88656	87059	84640	83041	81694	86028	113108	845127	849768	155727	46303	23385	18149	14772	12495	11719	11394	10760	10482	9152	8407	7058	6478	5452	4664	4419	3801	3557	3276	2867	2513	2252	2033	1940	1529	1318	1056	893	841	816	734	714	611	559	413	394	349	317	298	286	270	216	206	211	168	170	149	136	112	119	120	98	107	88	108	103	93	104	121	101	91	87	102	141	136	127	195	294	437	711	1079	5631	141242
Sham_oxy_1_1 - Adapter 1	1418701	332410	146392	76106	65823	63000	65881	66312	65639	78969	76615	79811	82117	85139	92067	94998	100633	115336	101376	108980	111158	118204	129936	130329	126183	129628	127729	134828	136376	144241	138838	144113	165494	186616	188475	206825	205514	215540	191296	213047	221965	251310	251317	249820	374708	189280	281420	327873	346495	311657	347319	353939	306555	328717	349088	322695	383736	393157	377150	356460	321988	304926	351389	356920	345321	428870	413117	375225	373088	421014	539771	3846446	961742	288049	119216	80837	73766	59792	51384	51755	57422	53742	48276	43063	39301	38432	34642	33805	33730	26197	24644	20651	19877	17877	15521	15422	14456	12073	11631	9658	8265	7187	6155	5198	4512	4558	4313	4179	4112	3487	3021	2526	2530	1938	1946	1957	2162	1919	1600	1589	1480	1078	1111	798	613	507	410	458	385	258	183	119	108	103	81	171	61	55	20	25	14	37	12	28	55	44	69	102	225	2895
Sham_oxy_1_2 - Adapter 1	1506704	419654	158439	73595	73255	66742	78431	62819	58354	83649	69558	79536	92348	157393	67727	100825	111449	61349	105649	77328	81686	102479	126862	181883	101613	112434	105272	150630	110349	208631	77343	153113	129417	139114	163343	242622	179777	142379	154945	193834	220783	304452	186727	281382	229680	248967	321579	305521	320909	324506	309015	336253	336372	392569	272364	365326	430170	343889	336689	396260	319031	296617	469309	193688	288375	298121	403513	352351	328643	328235	340709	346463	366535	450352	539672	3118634	562979	131568	59831	50719	53976	45275	38744	36920	32757	33102	29981	28211	28124	21780	19553	16245	15903	14522	11989	12438	11597	9098	9063	7893	6765	5879	5041	4123	3844	4006	3766	3786	3690	3124	2605	2072	2041	1591	1527	1585	1764	1496	1231	1211	1174	872	940	649	463	454	329	372	288	230	172	97	69	52	49	156	32	47	13	12	11	6	9	14	11	7	18	20	92	2401
