Sample	10	11	12	13	14	15	16	17	18	19	1	2	3	4	5	6	7	8	9	MT	X
SNI_Sal_1	1891761	3639112	6838969	1409970	1679310	1641354	1763955	1503619	1479076	1389733	3118006	3631651	1968760	2075395	2469428	2547231	2386063	1920095	2740246	2149211	1321511
SNI_Sal_2	651258	2597996	2118621	1024208	825773	641214	3189230	13445639	605124	185115	784830	1952278	2322655	261882	1189678	2125694	457665	883968	3773498	330230	273097
SNI_Sal_3	2068973	2690703	4115156	1471205	1770691	1525636	1846479	1790234	1244242	1147467	2756282	3620700	1867401	2160959	2598939	2539160	2374288	2010461	2489179	1122994	1260565
SNI_Sal_4	709656	3039016	2672049	993653	735001	769883	5269225	22675981	1036592	245859	1001446	1940457	2895659	450090	2190665	2764026	542177	877053	2617033	2466982	430776
SNI_oxy_1	1755476	3030363	9617651	1276387	1545215	1704666	1560029	1424539	1206449	1171933	2694374	3493375	1697677	1916715	2303888	2517508	2213706	1744319	2913500	1847584	1186638
SNI_oxy_2	2032366	2719105	7006720	1476239	1817227	1704337	1793363	1555232	1255239	1253395	3060451	3757637	2049974	2127924	2435000	2482853	2497676	2006223	2904056	945038	1408789
SNI_oxy_3	1759397	2424813	7242058	1179023	1495152	1461192	1500511	1269947	1051208	1112472	2565678	3108202	1637332	1782844	2073092	2182130	2056084	1617508	2543888	1288749	1175959
SNI_oxy_4	2027620	2746971	4524130	1504108	1832310	1524464	1987178	1718590	1313763	1208355	2810422	3679024	1945296	2125793	2569029	2639758	2337774	2036824	2567234	1379265	1256933
Sham_Sal_1	1669397	2209629	4675800	1094431	1371985	1217943	1465102	1342127	981928	933540	2166243	2827663	1481156	1631429	2265412	2072032	1873580	1522855	2126104	765618	1031722
Sham_Sal_2	2120528	3336097	8228012	1477554	1692059	1876343	1804861	1819969	1296755	1537224	3255489	3965180	2043775	2260868	2682591	2714536	2572023	2062210	3253778	2754943	1453084
Sham_Sal_3	2249787	3651705	9680610	1534013	1853131	2012010	1943472	1999028	1407482	1578035	3270166	4218531	2091343	2469969	3032539	2812973	2891037	2185007	3457852	2345782	1603482
Sham_Sal_4	1550672	3465397	6663304	1372108	1482469	1544038	2434435	4647870	1161356	1131916	2361088	3426208	2062685	1613067	2366704	2566600	1912932	1740940	3587608	2054817	1034764
Sham_oxy_1	853892	1092029	1607382	547028	656368	569785	761446	811896	453985	396620	1016456	1377405	729745	821216	1100349	922986	844019	722412	1002695	419209	493648
Sham_oxy_2	2007134	2347559	3650872	1416323	1732521	1445254	1724206	1516798	1202518	1095668	2710218	3469193	1878668	1961493	2375835	2344641	2280416	1900242	2365664	1065157	1256076
Sham_oxy_3	1454783	3733210	3529003	1281175	1330512	1196788	3959185	5337237	1289159	702483	1817037	2972053	3201710	1274824	2607213	2309189	1457068	1469488	2872767	558706	908238
Sham_oxy_4	1976963	2770307	6035885	1356393	1685299	1588210	1639178	1548891	1204624	1163500	2793910	3540091	1852010	2055378	2436949	2460449	2251285	1830605	2703642	963404	1257435
